0,1,2
FCRL3,pp,ZAP70
EGFR,pp,MET
EGFR,pp,PKN1
EGFR,pp,ERBB2
EGFR,pp,MAPK1
EGFR,pp,EGFR
EGFR,pp,RASA1
EGFR,pp,PAK1
EGFR,pp,PRKD1
EGFR,pp,PTPN1
EGFR,pp,EPHA2
EGFR,pp,MAP2K1
EGFR,pp,FGFR1
EGFR,pp,PTEN
EGFR,pp,PDGFRA
EGFR,pp,PTPN6
EGFR,pp,ADRBK1
EGFR,pp,CDK2
EGFR,pp,CSNK2A2
EGFR,pp,MAPK3
EGFR,pp,PRKCB1
EGFR,pp,CSK
EGFR,pp,ERBB4
EGFR,pp,CDC25A
PPP1R3D,pp,PPP2R1A
IRAK2,pp,IRAK1
IRAK2,pp,IRAK2
CDK6,pp,CDK6
CDK6,pp,CDK7
CDK6,pp,TGFBR1
CDK6,pp,CDKN3
CDK6,pp,CSK
CDK6,pp,MAP3K11
CDK6,pp,PLK4
CDK6,pp,FYN
CDK6,pp,EGFR
PPFIBP1,pp,PPFIBP1
PPFIBP1,pp,PTPRM
TTN,pp,TTN
TTN,pp,MAP3K12
TTN,pp,TNK1
TTN,pp,OXSR1
TTN,pp,STK25
TTN,pp,CAMKK2
TTN,pp,TAOK3
TTN,pp,CRKRS
BRD2,pp,CDK2
BRD2,pp,GSK3B
BRD2,pp,MAPK14
PTPRG,pp,INSR
MAPK8,pp,DUSP1
MAPK8,pp,MAPK14
MAPK8,pp,EEF2K
MAPK8,pp,PRKDC
MAPK8,pp,MAPK1
MAPK8,pp,PTK2
MAPK8,pp,SYK
MAPK8,pp,MAP3K12
MAPK8,pp,RPS6KA4
MAPK8,pp,MAP4K1
MAPK8,pp,PRKD2
MAPK8,pp,MAPK10
MAPK8,pp,MAPK13
MAPK8,pp,MAPKAPK3
MAPK8,pp,MAPKAPK5
MAPK8,pp,RPS6KA5
MAPK8,pp,TAOK2
MAPK8,pp,MAP4K5
MAPK8,pp,TNIK
MAPK8,pp,STK39
MAPK8,pp,MINK1
MAPK8,pp,PINK1
MAPK8,pp,MAPK9
MAPK8,pp,RAF1
MAPK8,pp,MAP2K1
MAPK8,pp,MAPK11
MAPK8,pp,RPS6KB1
MAPK8,pp,CDC2
MAPK8,pp,GSK3B
MAPK8,pp,MAPK3
CAMKK1,pp,CAMK4
